,SEXVAR,EXERANY2,MARIJAN1,RSNMRJN2,sex,exercised,marijuana_use
226301,2.0,1.0,,,female,yes,
226320,1.0,2.0,,,male,no,
226495,2.0,1.0,,,female,yes,
226655,2.0,1.0,,,female,yes,
226710,1.0,1.0,,,male,yes,
227230,1.0,1.0,,,male,yes,
227662,1.0,1.0,,,male,yes,
227990,1.0,1.0,,,male,yes,
228334,1.0,1.0,,,male,yes,
228419,1.0,2.0,,,male,no,
228491,2.0,1.0,,,female,yes,
228557,2.0,1.0,,,female,yes,
228619,2.0,1.0,,,female,yes,
228630,2.0,1.0,,,female,yes,
228906,2.0,1.0,,,female,yes,
228969,1.0,1.0,,,male,yes,
229232,2.0,2.0,,,female,no,
229294,2.0,2.0,,,female,no,
229304,1.0,1.0,,,male,yes,
229325,1.0,1.0,,,male,yes,
229343,1.0,1.0,,,male,yes,
229839,1.0,2.0,,,male,no,
230446,2.0,2.0,,,female,no,
231116,1.0,1.0,,,male,yes,
233177,1.0,1.0,,,male,yes,
236615,1.0,1.0,,,male,yes,
236651,2.0,1.0,,,female,yes,
236948,2.0,1.0,88.0,,female,yes,
237034,2.0,1.0,10.0,2.0,female,yes,nonmedical
237136,1.0,2.0,88.0,,male,no,
237431,1.0,1.0,,,male,yes,
237494,1.0,1.0,88.0,,male,yes,
237559,2.0,1.0,,,female,yes,
237767,2.0,1.0,88.0,,female,yes,
237790,1.0,2.0,88.0,,male,no,
237800,2.0,1.0,30.0,2.0,female,yes,nonmedical
239259,1.0,2.0,,,male,no,
241278,1.0,1.0,,,male,yes,
241344,2.0,1.0,,,female,yes,
241486,1.0,1.0,,,male,yes,
241648,2.0,1.0,,,female,yes,
241656,1.0,1.0,,,male,yes,
243524,1.0,2.0,,,male,no,
243588,1.0,1.0,,,male,yes,
243614,1.0,2.0,,,male,no,
244042,2.0,1.0,,,female,yes,
244445,1.0,2.0,,,male,no,
244871,2.0,1.0,,,female,yes,
245134,1.0,1.0,,,male,yes,
245897,2.0,1.0,,,female,yes,
245929,1.0,2.0,,,male,no,
246037,1.0,1.0,,,male,yes,
246148,2.0,2.0,,,female,no,
246740,2.0,1.0,,,female,yes,
247224,1.0,2.0,,,male,no,
247408,1.0,1.0,,,male,yes,
248889,2.0,1.0,,,female,yes,
251969,2.0,1.0,,,female,yes,
252987,2.0,1.0,,,female,yes,
254001,1.0,2.0,,,male,no,
269296,1.0,2.0,,,male,no,
269438,2.0,1.0,,,female,yes,
269506,1.0,1.0,,,male,yes,
269509,1.0,1.0,,,male,yes,
269510,2.0,1.0,,,female,yes,
269527,2.0,1.0,,,female,yes,
269560,1.0,1.0,,,male,yes,
269570,2.0,1.0,,,female,yes,
269708,1.0,1.0,,,male,yes,
269713,1.0,2.0,,,male,no,
269741,2.0,2.0,,,female,no,
269745,2.0,1.0,,,female,yes,
269766,2.0,1.0,,,female,yes,
269817,2.0,1.0,,,female,yes,
269916,1.0,2.0,,,male,no,
269935,1.0,2.0,,,male,no,
270062,1.0,2.0,,,male,no,
270519,2.0,2.0,,,female,no,
270718,1.0,1.0,,,male,yes,
270775,1.0,1.0,,,male,yes,
270976,2.0,2.0,,,female,no,
271096,1.0,1.0,,,male,yes,
271178,1.0,1.0,,,male,yes,
271617,1.0,1.0,,,male,yes,
272317,1.0,1.0,,,male,yes,
272320,1.0,1.0,,,male,yes,
273074,1.0,1.0,,,male,yes,
273865,1.0,1.0,,,male,yes,
274392,1.0,1.0,,,male,yes,
274431,1.0,1.0,,,male,yes,
274544,2.0,1.0,,,female,yes,
275384,1.0,2.0,,,male,no,
275492,1.0,1.0,,,male,yes,
275639,2.0,1.0,,,female,yes,
275810,1.0,1.0,,,male,yes,
275934,1.0,1.0,,,male,yes,
276105,2.0,1.0,,,female,yes,
276143,2.0,1.0,,,female,yes,
276298,2.0,1.0,,,female,yes,
276336,2.0,1.0,,,female,yes,
276352,2.0,1.0,,,female,yes,
276572,2.0,2.0,,,female,no,
276644,2.0,1.0,,,female,yes,
277522,2.0,2.0,,,female,no,
277665,1.0,1.0,,,male,yes,
277705,2.0,2.0,,,female,no,
277793,2.0,1.0,,,female,yes,
277850,1.0,1.0,,,male,yes,
277895,1.0,1.0,,,male,yes,
277928,2.0,1.0,,,female,yes,
277953,2.0,1.0,,,female,yes,
278197,2.0,2.0,,,female,no,
278502,2.0,1.0,,,female,yes,
278571,2.0,1.0,,,female,yes,
278609,1.0,1.0,,,male,yes,
278663,1.0,1.0,,,male,yes,
278720,1.0,2.0,,,male,no,
278768,2.0,2.0,,,female,no,
278826,1.0,1.0,,,male,yes,
278987,1.0,1.0,,,male,yes,
279123,1.0,1.0,,,male,yes,
279155,2.0,1.0,,,female,yes,
279280,2.0,1.0,,,female,yes,
279308,2.0,1.0,,,female,yes,
279521,1.0,1.0,,,male,yes,
279988,2.0,1.0,,,female,yes,
279993,1.0,2.0,,,male,no,
280200,1.0,1.0,,,male,yes,
281157,2.0,1.0,,,female,yes,
281875,2.0,1.0,,,female,yes,
281920,2.0,2.0,,,female,no,
281934,1.0,2.0,,,male,no,
281979,1.0,1.0,,,male,yes,
282041,1.0,1.0,,,male,yes,
282042,1.0,1.0,,,male,yes,
282183,2.0,1.0,,,female,yes,
282561,1.0,1.0,,,male,yes,
282939,1.0,1.0,,,male,yes,
282949,1.0,1.0,,,male,yes,
283064,1.0,1.0,,,male,yes,
283094,2.0,1.0,,,female,yes,
283293,1.0,1.0,,,male,yes,
283479,2.0,1.0,,,female,yes,
284311,1.0,1.0,,,male,yes,
284336,1.0,1.0,,,male,yes,
284376,1.0,1.0,,,male,yes,
284627,2.0,1.0,,,female,yes,
284708,1.0,1.0,,,male,yes,
284787,2.0,2.0,,,female,no,
285047,2.0,2.0,,,female,no,
285300,2.0,1.0,,,female,yes,
285379,2.0,1.0,,,female,yes,
285798,2.0,1.0,,,female,yes,
285874,2.0,2.0,,,female,no,
285983,1.0,2.0,,,male,no,
286002,2.0,1.0,,,female,yes,
286286,2.0,2.0,,,female,no,
286331,1.0,1.0,,,male,yes,
286501,2.0,1.0,,,female,yes,
286839,1.0,1.0,,,male,yes,
287038,1.0,1.0,,,male,yes,
287344,1.0,1.0,,,male,yes,
287375,1.0,1.0,,,male,yes,
287559,2.0,1.0,,,female,yes,
287583,2.0,1.0,,,female,yes,
287748,2.0,1.0,,,female,yes,
287955,2.0,1.0,,,female,yes,
287964,1.0,1.0,,,male,yes,
288300,2.0,2.0,,,female,no,
289851,1.0,1.0,,,male,yes,
289875,2.0,2.0,,,female,no,
290000,2.0,1.0,,,female,yes,
290127,2.0,1.0,,,female,yes,
290597,2.0,1.0,,,female,yes,
290976,1.0,2.0,,,male,no,
291273,2.0,1.0,,,female,yes,
291719,2.0,1.0,,,female,yes,
292224,1.0,1.0,,,male,yes,
292277,1.0,1.0,,,male,yes,
292454,1.0,2.0,,,male,no,
292779,1.0,2.0,,,male,no,
293969,1.0,1.0,,,male,yes,
294060,1.0,1.0,,,male,yes,
294117,1.0,1.0,,,male,yes,
294190,1.0,1.0,,,male,yes,
294191,1.0,1.0,,,male,yes,
294268,2.0,1.0,,,female,yes,
294978,1.0,1.0,,,male,yes,
295326,1.0,1.0,,,male,yes,
295685,1.0,1.0,,,male,yes,
295983,2.0,2.0,,,female,no,
297801,1.0,1.0,,,male,yes,
297878,1.0,1.0,,,male,yes,
297882,2.0,1.0,,,female,yes,
297975,1.0,1.0,,,male,yes,
298088,2.0,1.0,,,female,yes,
300440,1.0,1.0,,,male,yes,
300464,2.0,1.0,,,female,yes,
300479,1.0,1.0,,,male,yes,
300495,1.0,1.0,,,male,yes,
300616,1.0,1.0,88.0,,male,yes,
300693,2.0,2.0,88.0,,female,no,
300837,2.0,1.0,88.0,,female,yes,
301388,2.0,1.0,88.0,,female,yes,
302352,1.0,1.0,88.0,,male,yes,
302776,1.0,1.0,88.0,,male,yes,
302801,2.0,2.0,88.0,,female,no,
303202,2.0,1.0,88.0,,female,yes,
303290,1.0,1.0,88.0,,male,yes,
303371,1.0,1.0,1.0,2.0,male,yes,nonmedical
303396,2.0,2.0,99.0,,female,no,
303488,1.0,1.0,88.0,,male,yes,
303593,2.0,2.0,88.0,,female,no,
303922,1.0,1.0,,,male,yes,
303929,2.0,2.0,88.0,,female,no,
308024,1.0,1.0,,,male,yes,
308067,2.0,1.0,,,female,yes,
308085,2.0,1.0,,,female,yes,
308182,1.0,1.0,,,male,yes,
308295,1.0,2.0,,,male,no,
308300,2.0,1.0,,,female,yes,
308486,2.0,1.0,,,female,yes,
308692,1.0,1.0,88.0,,male,yes,
308915,2.0,1.0,88.0,,female,yes,
309523,1.0,1.0,99.0,,male,yes,
309525,1.0,1.0,,,male,yes,
310125,2.0,1.0,88.0,,female,yes,
310239,1.0,1.0,88.0,,male,yes,
310491,2.0,1.0,88.0,,female,yes,
311165,2.0,1.0,88.0,,female,yes,
312251,1.0,1.0,88.0,,male,yes,
312265,1.0,1.0,88.0,,male,yes,
312324,1.0,1.0,,,male,yes,
312432,1.0,1.0,,,male,yes,
312721,1.0,1.0,88.0,,male,yes,
312864,1.0,1.0,88.0,,male,yes,
312924,2.0,1.0,88.0,,female,yes,
312967,2.0,1.0,,,female,yes,
313375,2.0,1.0,,,female,yes,
313591,1.0,1.0,88.0,,male,yes,
313654,1.0,1.0,,,male,yes,
313735,1.0,1.0,,,male,yes,
313750,2.0,1.0,,,female,yes,
313905,1.0,1.0,,,male,yes,
313914,2.0,1.0,88.0,,female,yes,
313948,1.0,1.0,88.0,,male,yes,
314047,2.0,1.0,88.0,,female,yes,
314783,1.0,1.0,88.0,,male,yes,
314909,1.0,2.0,,,male,no,
315446,1.0,1.0,88.0,,male,yes,
315536,1.0,1.0,,,male,yes,
316283,2.0,1.0,,,female,yes,
316913,1.0,1.0,,,male,yes,
317288,1.0,1.0,88.0,,male,yes,
317384,2.0,1.0,88.0,,female,yes,
317442,2.0,1.0,88.0,,female,yes,
318180,2.0,1.0,88.0,,female,yes,
318190,2.0,1.0,30.0,3.0,female,yes,both
319516,2.0,1.0,,,female,yes,
319551,2.0,1.0,,,female,yes,
319553,1.0,1.0,,,male,yes,
319590,1.0,1.0,,,male,yes,
319637,2.0,1.0,,,female,yes,
320470,1.0,1.0,,,male,yes,
321015,1.0,2.0,,,male,no,
321097,1.0,1.0,,,male,yes,
321153,2.0,1.0,,,female,yes,
321954,2.0,1.0,,,female,yes,
322122,2.0,1.0,,,female,yes,
323237,2.0,1.0,,,female,yes,
323628,2.0,1.0,,,female,yes,
323650,2.0,2.0,,,female,no,
323737,2.0,1.0,,,female,yes,
324551,1.0,1.0,,,male,yes,
324568,1.0,1.0,,,male,yes,
324626,2.0,1.0,,,female,yes,
324866,2.0,1.0,,,female,yes,
326720,1.0,1.0,,,male,yes,
327152,1.0,1.0,,,male,yes,
328334,1.0,1.0,,,male,yes,
328652,1.0,2.0,,,male,no,
328687,1.0,1.0,,,male,yes,
328802,1.0,1.0,,,male,yes,
328901,2.0,1.0,,,female,yes,
329037,1.0,2.0,,,male,no,
330130,2.0,1.0,,,female,yes,
330265,2.0,1.0,,,female,yes,
330344,1.0,1.0,,,male,yes,
330355,2.0,1.0,,,female,yes,
330362,1.0,2.0,,,male,no,
330550,1.0,1.0,,,male,yes,
330968,1.0,1.0,,,male,yes,
331181,2.0,1.0,,,female,yes,
331397,2.0,1.0,,,female,yes,
332416,2.0,1.0,,,female,yes,
333178,2.0,1.0,,,female,yes,
333183,2.0,1.0,,,female,yes,
333378,1.0,1.0,,,male,yes,
333451,2.0,1.0,,,female,yes,
333657,2.0,2.0,,,female,no,
333945,1.0,1.0,,,male,yes,
334005,1.0,1.0,,,male,yes,
334164,2.0,1.0,,,female,yes,
334215,2.0,1.0,,,female,yes,
334725,2.0,2.0,,,female,no,
335025,2.0,1.0,,,female,yes,
335159,2.0,2.0,,,female,no,
335349,2.0,2.0,,,female,no,
335436,2.0,2.0,,,female,no,
335571,1.0,2.0,,,male,no,
336624,2.0,1.0,,,female,yes,
336669,2.0,2.0,,,female,no,
336704,2.0,1.0,,,female,yes,
336828,2.0,1.0,88.0,,female,yes,
336875,2.0,1.0,88.0,,female,yes,
337075,1.0,1.0,88.0,,male,yes,
337220,2.0,7.0,88.0,,female,,
337411,1.0,1.0,30.0,3.0,male,yes,both
337471,2.0,2.0,30.0,1.0,female,no,medical
337789,2.0,1.0,88.0,,female,yes,
338549,2.0,2.0,88.0,,female,no,
338989,1.0,1.0,88.0,,male,yes,
338996,1.0,1.0,,,male,yes,
339374,2.0,1.0,88.0,,female,yes,
339688,2.0,1.0,88.0,,female,yes,
339891,2.0,2.0,,,female,no,
340108,1.0,1.0,,,male,yes,
340150,2.0,1.0,88.0,,female,yes,
344698,2.0,1.0,,,female,yes,
344703,2.0,1.0,,,female,yes,
344714,1.0,1.0,,,male,yes,
344796,2.0,1.0,,,female,yes,
344852,2.0,1.0,,,female,yes,
344950,2.0,1.0,,,female,yes,
344961,1.0,2.0,,,male,no,
346001,2.0,1.0,,,female,yes,
346108,1.0,1.0,,,male,yes,
347187,2.0,2.0,,,female,no,
347591,1.0,1.0,,,male,yes,
347754,1.0,1.0,,,male,yes,
348049,1.0,1.0,,,male,yes,
348175,2.0,1.0,,,female,yes,
348580,2.0,2.0,,,female,no,
348665,2.0,1.0,,,female,yes,
348998,1.0,1.0,,,male,yes,
349029,1.0,1.0,,,male,yes,
349045,1.0,1.0,,,male,yes,
349135,1.0,1.0,,,male,yes,
349915,1.0,1.0,,,male,yes,
349980,2.0,1.0,,,female,yes,
353680,2.0,1.0,,,female,yes,
353683,1.0,1.0,,,male,yes,
353692,1.0,1.0,,,male,yes,
353700,2.0,1.0,,,female,yes,
353704,1.0,1.0,,,male,yes,
353715,1.0,1.0,,,male,yes,
353766,1.0,1.0,,,male,yes,
353825,2.0,1.0,,,female,yes,
354056,1.0,1.0,,,male,yes,
354364,2.0,1.0,,,female,yes,
354531,2.0,1.0,,,female,yes,
354847,1.0,1.0,,,male,yes,
354938,1.0,1.0,,,male,yes,
355193,1.0,1.0,,,male,yes,
356221,1.0,2.0,,,male,no,
356350,2.0,1.0,,,female,yes,
356441,1.0,1.0,,,male,yes,
356974,1.0,1.0,,,male,yes,
357099,1.0,1.0,,,male,yes,
357533,1.0,1.0,,,male,yes,
357925,1.0,1.0,,,male,yes,
358027,1.0,2.0,,,male,no,
359391,1.0,1.0,,,male,yes,
359505,1.0,1.0,,,male,yes,
359684,2.0,1.0,,,female,yes,
360240,2.0,1.0,,,female,yes,
360298,1.0,1.0,,,male,yes,
360427,1.0,2.0,,,male,no,
360468,1.0,1.0,,,male,yes,
360855,2.0,1.0,,,female,yes,
361100,2.0,1.0,,,female,yes,
361866,1.0,1.0,,,male,yes,
361921,1.0,1.0,,,male,yes,
361975,2.0,1.0,,,female,yes,
361990,2.0,1.0,,,female,yes,
362041,2.0,1.0,,,female,yes,
362281,2.0,1.0,,,female,yes,
362320,2.0,1.0,,,female,yes,
362432,2.0,1.0,,,female,yes,
362862,1.0,1.0,,,male,yes,
362949,1.0,1.0,,,male,yes,
363295,1.0,1.0,,,male,yes,
365361,2.0,2.0,,,female,no,
365377,2.0,1.0,,,female,yes,
365863,1.0,2.0,,,male,no,
365967,1.0,1.0,,,male,yes,
366112,1.0,1.0,,,male,yes,
366166,1.0,1.0,,,male,yes,
366192,1.0,1.0,,,male,yes,
366351,1.0,1.0,,,male,yes,
366784,2.0,2.0,,,female,no,
367933,1.0,1.0,,,male,yes,
367994,2.0,2.0,,,female,no,
368059,1.0,1.0,,,male,yes,
368366,1.0,1.0,,,male,yes,
368719,1.0,1.0,,,male,yes,
368860,1.0,1.0,,,male,yes,
368981,1.0,1.0,,,male,yes,
370079,2.0,1.0,,,female,yes,
370140,2.0,1.0,,,female,yes,
370279,1.0,1.0,,,male,yes,
370447,1.0,1.0,,,male,yes,
370514,2.0,2.0,,,female,no,
370712,1.0,1.0,,,male,yes,
370830,1.0,1.0,,,male,yes,
370978,2.0,2.0,,,female,no,
371406,2.0,1.0,,,female,yes,
371668,2.0,1.0,,,female,yes,
371772,2.0,1.0,,,female,yes,
371847,1.0,1.0,,,male,yes,
371871,1.0,1.0,,,male,yes,
372439,2.0,2.0,,,female,no,
372480,1.0,1.0,,,male,yes,
373201,2.0,1.0,,,female,yes,
373380,1.0,2.0,,,male,no,
374066,2.0,1.0,,,female,yes,
374109,1.0,1.0,,,male,yes,
375878,1.0,1.0,,,male,yes,
375946,2.0,1.0,,,female,yes,
375986,1.0,1.0,,,male,yes,
376027,1.0,2.0,,,male,no,
376107,2.0,1.0,,,female,yes,
376133,2.0,2.0,,,female,no,
376148,2.0,1.0,,,female,yes,
376189,1.0,1.0,88.0,,male,yes,
376339,2.0,1.0,88.0,,female,yes,
378192,1.0,1.0,88.0,,male,yes,
378428,2.0,1.0,88.0,,female,yes,
379203,2.0,1.0,88.0,,female,yes,
379722,1.0,1.0,,,male,yes,
379910,2.0,1.0,,,female,yes,
380018,2.0,1.0,88.0,,female,yes,
380085,2.0,1.0,88.0,,female,yes,
380624,1.0,1.0,88.0,,male,yes,
380668,2.0,1.0,88.0,,female,yes,
380785,2.0,1.0,88.0,,female,yes,
381027,1.0,1.0,88.0,,male,yes,
381514,2.0,1.0,88.0,,female,yes,
381757,2.0,2.0,88.0,,female,no,
381819,1.0,1.0,88.0,,male,yes,
382259,1.0,1.0,88.0,,male,yes,
382271,1.0,1.0,88.0,,male,yes,
383287,1.0,1.0,88.0,,male,yes,
383457,2.0,1.0,88.0,,female,yes,
383691,1.0,1.0,88.0,,male,yes,
383948,1.0,1.0,88.0,,male,yes,
383952,1.0,2.0,88.0,,male,no,
384162,2.0,1.0,88.0,,female,yes,
384282,2.0,1.0,88.0,,female,yes,
384486,2.0,1.0,88.0,,female,yes,
386746,2.0,1.0,,,female,yes,
387754,1.0,2.0,88.0,,male,no,
388938,1.0,1.0,4.0,3.0,male,yes,both
389062,2.0,1.0,88.0,,female,yes,
389635,2.0,1.0,88.0,,female,yes,
389783,2.0,2.0,88.0,,female,no,
389951,1.0,1.0,88.0,,male,yes,
389980,2.0,1.0,4.0,2.0,female,yes,nonmedical
390003,2.0,1.0,88.0,,female,yes,
390596,2.0,1.0,88.0,,female,yes,
390600,1.0,1.0,77.0,,male,yes,
390710,2.0,1.0,88.0,,female,yes,
390954,1.0,1.0,1.0,2.0,male,yes,nonmedical
391169,2.0,1.0,3.0,3.0,female,yes,both
395096,1.0,1.0,,,male,yes,
395342,1.0,1.0,,,male,yes,
395516,1.0,1.0,,,male,yes,
395529,2.0,1.0,,,female,yes,
395633,1.0,1.0,,,male,yes,
395653,2.0,1.0,,,female,yes,
395674,2.0,1.0,,,female,yes,
395702,1.0,1.0,,,male,yes,
395708,1.0,2.0,,,male,no,
396883,1.0,1.0,,,male,yes,
397014,1.0,1.0,,,male,yes,
397205,1.0,1.0,,,male,yes,
397394,2.0,1.0,,,female,yes,
397613,2.0,1.0,,,female,yes,
397725,2.0,1.0,,,female,yes,
397833,1.0,1.0,,,male,yes,
399484,2.0,1.0,,,female,yes,
399609,2.0,1.0,,,female,yes,
400056,1.0,1.0,,,male,yes,
400070,2.0,1.0,,,female,yes,
400452,1.0,2.0,,,male,no,
405186,2.0,1.0,,,female,yes,
405222,1.0,1.0,,,male,yes,
405314,1.0,1.0,,,male,yes,
405441,2.0,1.0,,,female,yes,
406905,1.0,1.0,,,male,yes,
408028,2.0,1.0,,,female,yes,
408795,1.0,1.0,,,male,yes,
409673,1.0,1.0,,,male,yes,
411244,1.0,1.0,,,male,yes,
412190,1.0,1.0,,,male,yes,
412732,2.0,1.0,,,female,yes,
413225,1.0,1.0,,,male,yes,
413455,1.0,1.0,,,male,yes,
416867,1.0,1.0,,,male,yes,
416957,2.0,1.0,,,female,yes,
417003,1.0,1.0,,,male,yes,
417115,1.0,1.0,,,male,yes,
417744,1.0,1.0,,,male,yes,
418084,1.0,1.0,,,male,yes,
418205,1.0,1.0,,,male,yes,
418350,1.0,1.0,,,male,yes,
418537,2.0,1.0,,,female,yes,
418542,2.0,2.0,,,female,no,
419482,1.0,1.0,,,male,yes,
419927,2.0,1.0,,,female,yes,
420361,1.0,1.0,,,male,yes,
420909,1.0,1.0,,,male,yes,
423151,2.0,1.0,,,female,yes,
423261,2.0,1.0,,,female,yes,
423394,1.0,1.0,,,male,yes,
423420,2.0,1.0,,,female,yes,
423722,1.0,1.0,,,male,yes,
423743,2.0,1.0,,,female,yes,
423834,1.0,1.0,,,male,yes,
424035,1.0,1.0,,,male,yes,
424215,1.0,1.0,,,male,yes,
424306,2.0,1.0,,,female,yes,
424314,1.0,1.0,,,male,yes,
424424,1.0,1.0,,,male,yes,
424506,2.0,1.0,,,female,yes,
424796,2.0,1.0,,,female,yes,
425131,2.0,1.0,,,female,yes,
425658,2.0,1.0,,,female,yes,
425767,2.0,1.0,,,female,yes,
425988,2.0,1.0,,,female,yes,
426217,1.0,1.0,,,male,yes,
426263,1.0,1.0,,,male,yes,
426379,1.0,1.0,,,male,yes,
426577,1.0,1.0,,,male,yes,
426892,2.0,2.0,,,female,no,
426983,1.0,1.0,,,male,yes,
427145,1.0,1.0,,,male,yes,
427168,1.0,1.0,,,male,yes,
429600,1.0,1.0,,,male,yes,
429620,1.0,1.0,,,male,yes,
429682,2.0,1.0,,,female,yes,
430237,1.0,1.0,,,male,yes,
430336,1.0,1.0,2.0,3.0,male,yes,both
431491,1.0,1.0,88.0,,male,yes,
432300,2.0,1.0,,,female,yes,
432404,1.0,1.0,88.0,,male,yes,
432966,1.0,1.0,88.0,,male,yes,
433143,2.0,1.0,88.0,,female,yes,
433284,1.0,1.0,,,male,yes,
435308,2.0,2.0,,,female,no,
435379,1.0,2.0,,,male,no,
435523,2.0,1.0,,,female,yes,
436179,2.0,1.0,,,female,yes,
437814,2.0,1.0,,,female,yes,
437864,2.0,2.0,,,female,no,
438072,1.0,2.0,,,male,no,
438157,1.0,1.0,,,male,yes,
