year,month,dow,sex,count
1995,Jan,Thu,F,22155
1995,Jan,Thu,M,23246
1995,Jan,Fri,F,22107
1995,Jan,Fri,M,23324
1995,Jan,Sat,F,17204
1995,Jan,Sat,M,17926
1995,Feb,Sun,F,15804
1995,Feb,Sun,M,16467
1995,Feb,Mon,F,20533
1995,Feb,Mon,M,21393
1995,Feb,Tue,F,23171
1995,Feb,Tue,M,24084
1995,Feb,Wed,F,22355
1995,Feb,Wed,M,23725
1995,Feb,Thu,F,22698
1995,Feb,Thu,M,23545
1995,Feb,Fri,F,22597
1995,Feb,Fri,M,23619
1995,Feb,Sat,F,17327
1995,Feb,Sat,M,18046
1995,Mar,Sun,F,15340
1995,Mar,Sun,M,15931
1995,Mar,Mon,F,20711
1995,Mar,Mon,M,21871
1995,Mar,Tue,F,22981
1995,Mar,Tue,M,24326
1995,Mar,Wed,F,28130
1995,Mar,Wed,M,29425
1995,Mar,Thu,F,27700
1995,Mar,Thu,M,29500
1995,Mar,Fri,F,28372
1995,Mar,Fri,M,29742
1995,Mar,Sat,F,16862
1995,Mar,Sat,M,17883
1995,Apr,Sun,F,18923
1995,Apr,Sun,M,19528
1995,Apr,Mon,F,21288
1995,Apr,Mon,M,21976
1995,Apr,Tue,F,23181
1995,Apr,Tue,M,24224
1995,Apr,Wed,F,22562
1995,Apr,Wed,M,23927
1995,Apr,Thu,F,22374
1995,Apr,Thu,M,23601
1995,Apr,Fri,F,21862
1995,Apr,Fri,M,23344
1995,Apr,Sat,F,20724
1995,Apr,Sat,M,21847
1995,May,Sun,F,15717
1995,May,Sun,M,16701
1995,May,Mon,F,25762
1995,May,Mon,M,26943
1995,May,Tue,F,28975
1995,May,Tue,M,30827
1995,May,Wed,F,28995
1995,May,Wed,M,30950
1995,May,Thu,F,23345
1995,May,Thu,M,24379
1995,May,Fri,F,22859
1995,May,Fri,M,24457
1995,May,Sat,F,16948
1995,May,Sat,M,17978
1995,Jun,Sun,F,15995
1995,Jun,Sun,M,16731
1995,Jun,Mon,F,21731
1995,Jun,Mon,M,22971
1995,Jun,Tue,F,23537
1995,Jun,Tue,M,25158
1995,Jun,Wed,F,23381
1995,Jun,Wed,M,24592
1995,Jun,Thu,F,29395
1995,Jun,Thu,M,31061
1995,Jun,Fri,F,29113
1995,Jun,Fri,M,30714
1995,Jun,Sat,F,17375
1995,Jun,Sat,M,18330
1995,Jul,Sun,F,20764
1995,Jul,Sun,M,21420
1995,Jul,Mon,F,27518
1995,Jul,Mon,M,29028
1995,Jul,Tue,F,22920
1995,Jul,Tue,M,24136
1995,Jul,Wed,F,23475
1995,Jul,Wed,M,24568
1995,Jul,Thu,F,24579
1995,Jul,Thu,M,25483
1995,Jul,Fri,F,24858
1995,Jul,Fri,M,25667
1995,Jul,Sat,F,22700
1995,Jul,Sat,M,24064
1995,Aug,Sun,F,16390
1995,Aug,Sun,M,17342
1995,Aug,Mon,F,22255
1995,Aug,Mon,M,23221
1995,Aug,Tue,F,30658
1995,Aug,Tue,M,32161
1995,Aug,Wed,F,29911
1995,Aug,Wed,M,31568
1995,Aug,Thu,F,30062
1995,Aug,Thu,M,31633
1995,Aug,Fri,F,24072
1995,Aug,Fri,M,24876
1995,Aug,Sat,F,17810
1995,Aug,Sat,M,19063
1995,Sep,Sun,F,16896
1995,Sep,Sun,M,17564
1995,Sep,Mon,F,21145
1995,Sep,Mon,M,22095
1995,Sep,Tue,F,24536
1995,Sep,Tue,M,25279
1995,Sep,Wed,F,24611
1995,Sep,Wed,M,25736
1995,Sep,Thu,F,24923
1995,Sep,Thu,M,26337
